,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Punting,Punting,Punting,Kick Ret,Kick Ret,Kick Ret,Kick Ret,Punt Ret,Punt Ret,Punt Ret,Punt Ret
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,2,4.5,5.0,90.0,1.0,1.5,66.7,7.5,4.0,157.0,39.3,1.5,22.5,15.0,0.0,1.0,4.5,4.5,0.0
2,Akron,3,3.0,3.0,100.0,0.3,0.3,100.0,4.0,7.0,267.7,38.2,2.0,42.3,21.2,0.0,0.3,1.3,4.0,0.0
3,Alabama,3,3.7,3.7,100.0,2.3,3.3,70.0,10.7,3.7,145.3,39.6,1.3,25.3,19.0,0.0,1.3,13.3,10.0,0.0
4,Appalachian State,3,3.3,3.3,100.0,1.3,1.3,100.0,7.3,5.7,229.7,40.5,2.0,49.3,24.7,0.0,2.3,14.0,6.0,0.0
5,Arizona,3,6.0,6.3,94.7,1.0,1.3,75.0,9.0,3.7,139.3,38.0,2.0,51.7,25.8,0.0,2.0,46.7,23.3,0.7
6,Arizona State,3,4.0,4.3,92.3,0.7,1.3,50.0,6.0,4.7,171.0,36.6,2.0,55.3,27.7,0.0,1.3,6.7,5.0,0.0
7,Arkansas,2,4.0,4.0,100.0,0.0,1.0,0.0,4.0,4.0,161.5,40.4,2.0,35.0,17.5,0.0,0.0,0.0,,0.0
8,Arkansas State,2,5.0,5.5,90.9,1.0,1.5,66.7,8.0,5.0,191.5,38.3,2.0,40.0,20.0,0.0,2.0,49.5,24.8,0.5
9,Army,3,3.7,4.0,91.7,0.3,1.0,33.3,4.7,2.3,92.3,39.6,3.7,86.7,23.6,0.0,0.0,0.0,,0.0
10,Auburn,3,2.7,2.7,100.0,1.7,2.7,62.5,7.7,3.7,146.3,39.9,1.3,24.0,18.0,0.0,2.3,26.0,11.1,0.0
11,Ball State,3,4.3,4.7,92.9,0.3,1.3,25.0,5.3,3.0,124.7,41.6,1.7,64.0,38.4,0.3,2.0,29.0,14.5,0.0
12,Baylor,3,3.0,3.3,90.0,0.7,0.7,100.0,5.0,5.7,259.0,45.7,2.0,32.3,16.2,0.0,0.3,0.3,1.0,0.0
13,Boise State,3,4.0,4.0,100.0,1.3,1.3,100.0,8.0,5.0,207.0,41.4,2.3,62.3,26.7,0.0,3.3,52.0,15.6,0.3
14,Boston College,3,1.7,1.7,100.0,2.0,2.0,100.0,7.7,7.7,302.7,39.5,4.3,102.3,23.6,0.0,2.3,24.0,10.3,0.0
15,Bowling Green State,3,1.0,1.0,100.0,1.7,1.7,100.0,6.0,7.7,351.7,45.9,4.7,75.0,16.1,0.0,1.7,13.3,8.0,0.0
16,Brigham Young,4,0.8,0.8,100.0,1.0,1.5,66.7,3.8,5.5,235.5,42.8,2.8,57.3,20.8,0.0,1.0,-1.3,-1.3,0.0
17,Buffalo,3,2.0,2.3,85.7,1.0,1.7,60.0,5.0,4.3,180.3,41.6,2.0,32.7,16.3,0.0,1.0,6.3,6.3,0.0
18,California,3,3.7,4.0,91.7,1.3,2.3,57.1,7.7,4.7,203.0,43.5,3.3,60.0,18.0,0.0,0.0,0.0,,0.0
19,Central Michigan,3,3.0,3.0,100.0,1.7,2.0,83.3,8.0,8.0,361.0,45.1,3.3,57.7,17.3,0.0,0.7,4.3,6.5,0.0
20,Charlotte,3,1.3,1.7,80.0,0.3,0.7,50.0,2.3,7.0,301.3,43.0,5.3,119.7,22.4,0.0,1.3,6.0,4.5,0.0
21,Cincinnati,3,1.7,2.0,83.3,0.7,1.7,40.0,3.7,6.7,265.3,39.8,2.0,38.7,19.3,0.0,2.3,16.0,6.9,0.0
22,Clemson,3,5.0,5.3,93.8,0.7,1.3,50.0,7.0,4.0,187.0,46.8,1.3,24.3,18.3,0.0,3.7,17.3,4.7,0.0
23,Coastal Carolina,2,3.0,3.0,100.0,1.5,2.5,60.0,7.5,4.0,155.5,38.9,4.0,73.0,18.3,0.0,3.5,46.5,13.3,0.0
24,Colorado,3,3.7,3.7,100.0,2.0,2.3,85.7,9.7,5.0,219.0,43.8,0.0,0.0,,0.0,2.0,38.3,19.2,0.3
25,Colorado State,4,3.5,3.5,100.0,1.5,1.5,100.0,8.0,3.0,143.8,47.9,1.8,47.8,27.3,0.0,0.5,3.5,7.0,0.0
26,Connecticut,2,1.5,2.0,75.0,0.0,0.0,,1.5,3.5,136.5,39.0,3.5,93.5,26.7,0.0,1.5,13.0,8.7,0.0
27,Duke,3,5.3,5.7,94.1,1.7,2.0,83.3,10.3,4.7,181.0,38.8,2.3,55.0,23.6,0.0,2.3,2.3,1.0,0.0
28,East Carolina,3,2.0,2.0,100.0,1.0,2.0,50.0,5.0,5.0,208.3,41.7,4.3,87.0,20.1,0.0,0.7,0.0,0.0,0.0
29,Eastern Michigan,2,2.0,2.0,100.0,2.0,2.5,80.0,8.0,7.0,258.0,36.9,2.0,30.0,15.0,0.0,2.5,18.0,7.2,0.0
30,Florida,2,2.0,2.0,100.0,1.5,2.0,75.0,6.5,5.5,276.0,50.2,3.0,67.0,22.3,0.0,1.0,7.0,7.0,0.0
31,Florida Atlantic,3,3.0,3.0,100.0,1.0,1.0,100.0,6.0,6.3,251.3,39.7,2.3,21.7,9.3,0.0,1.3,3.3,2.5,0.0
32,Florida International,2,2.0,2.0,100.0,1.0,1.5,66.7,5.0,5.0,202.5,40.5,3.5,82.5,23.6,0.0,1.0,0.0,0.0,0.0
33,Florida State,1,1.0,1.0,100.0,0.0,1.0,0.0,1.0,6.0,189.0,31.5,2.0,20.0,10.0,0.0,0.0,0.0,,0.0
34,Fresno State,3,3.3,3.3,100.0,2.0,2.3,85.7,9.3,4.7,196.7,42.1,5.0,106.3,21.3,0.0,2.0,21.7,10.8,0.0
35,Georgia,3,4.0,4.0,100.0,1.0,1.3,75.0,7.0,5.0,221.3,44.3,2.3,59.0,25.3,0.0,2.0,11.7,5.8,0.0
36,Georgia Southern,2,1.0,1.0,100.0,0.5,1.5,33.3,2.5,7.0,266.5,38.1,2.5,53.5,21.4,0.0,0.5,4.0,8.0,0.0
37,Georgia State,2,0.5,0.5,100.0,0.5,1.0,50.0,2.0,5.0,183.5,36.7,2.5,38.0,15.2,0.0,1.5,5.5,3.7,0.0
38,Georgia Tech,2,4.5,5.0,90.0,0.5,1.5,33.3,6.0,3.0,129.0,43.0,2.0,19.5,9.8,0.0,2.5,6.0,2.4,0.0
39,Hawaii,3,4.3,4.7,92.9,0.3,1.0,33.3,5.3,3.0,114.0,38.0,4.7,104.3,22.4,0.0,0.7,1.0,1.5,0.0
40,Houston,2,3.5,3.5,100.0,1.0,2.0,50.0,6.5,4.5,190.5,42.3,1.5,70.0,46.7,0.0,2.0,6.0,3.0,0.0
41,Idaho,3,3.0,3.3,90.0,0.3,0.7,50.0,4.0,5.3,240.3,45.1,4.0,59.7,14.9,0.0,1.3,7.3,5.5,0.0
42,Illinois,3,1.3,1.3,100.0,1.0,1.3,75.0,4.3,6.3,249.7,39.4,2.7,53.0,19.9,0.0,1.3,18.3,13.8,0.0
43,Indiana,2,3.5,3.5,100.0,1.0,1.0,100.0,6.5,8.0,336.5,42.1,5.0,91.0,18.2,0.0,2.5,54.5,21.8,0.5
44,Iowa,3,4.0,4.0,100.0,1.0,1.0,100.0,7.0,4.0,159.3,39.8,2.7,61.0,22.9,0.0,1.7,19.3,11.6,0.0
45,Iowa State,3,5.3,5.3,100.0,1.3,1.7,80.0,9.3,4.3,194.3,44.8,3.3,60.0,18.0,0.0,2.3,9.3,4.0,0.0
46,Kansas,3,3.7,3.7,100.0,1.3,1.7,80.0,7.7,4.7,197.3,42.3,4.7,86.3,18.5,0.0,1.7,8.3,5.0,0.0
47,Kansas State,3,5.0,5.0,100.0,1.3,2.0,66.7,9.0,3.3,129.3,38.8,2.3,61.3,26.3,0.0,2.7,36.7,13.8,0.3
48,Kent State,3,1.3,1.3,100.0,0.3,1.0,33.3,2.3,7.3,331.7,45.2,4.0,79.3,19.8,0.0,2.7,15.7,5.9,0.0
49,Kentucky,3,2.7,2.7,100.0,2.0,2.3,85.7,8.7,5.7,237.0,41.8,2.3,55.7,23.9,0.0,0.3,-0.3,-1.0,0.0
50,Louisiana Tech,3,3.3,3.7,90.9,2.0,2.3,85.7,9.3,6.0,224.3,37.4,2.7,54.0,20.3,0.0,2.0,28.7,14.3,0.3
51,Louisiana-Lafayette,3,4.3,5.0,86.7,0.3,0.3,100.0,5.3,5.3,216.7,40.6,3.7,123.7,33.7,0.7,1.0,26.0,26.0,0.0
52,Louisiana-Monroe,2,2.5,2.5,100.0,0.5,0.5,100.0,4.0,8.0,331.0,41.4,4.0,68.0,17.0,0.0,2.0,17.0,8.5,0.0
53,Louisville,3,3.3,3.3,100.0,1.7,1.7,100.0,8.3,4.3,181.7,41.9,3.0,67.3,22.4,0.0,1.7,16.7,10.0,0.0
54,LSU,3,3.3,3.3,100.0,1.0,2.0,50.0,6.3,3.7,147.3,40.2,2.0,44.3,22.2,0.0,1.7,33.0,19.8,0.3
55,Marshall,3,3.0,3.0,100.0,1.0,1.3,75.0,6.0,4.7,210.3,45.1,4.3,114.3,26.4,0.7,2.0,0.0,0.0,0.0
56,Maryland,2,7.5,7.5,100.0,0.5,1.5,33.3,9.0,3.0,116.5,38.8,5.0,120.5,24.1,0.0,3.0,30.5,10.2,0.0
57,Massachusetts,4,3.3,3.3,100.0,0.0,1.0,0.0,3.3,5.5,228.5,41.5,6.0,122.8,20.5,0.0,1.8,1.8,1.0,0.0
58,Memphis,2,5.0,5.5,90.9,0.5,0.5,100.0,6.5,5.5,221.5,40.3,3.0,116.5,38.8,0.5,2.0,15.5,7.8,0.0
59,Miami (FL),1,5.0,5.0,100.0,2.0,2.0,100.0,11.0,2.0,98.0,49.0,3.0,65.0,21.7,0.0,1.0,12.0,12.0,0.0
60,Miami (OH),3,2.7,2.7,100.0,1.3,1.3,100.0,6.7,5.3,229.3,43.0,2.7,39.3,14.8,0.0,1.0,6.7,6.7,0.0
61,Michigan,3,3.0,3.0,100.0,3.7,4.3,84.6,14.0,4.0,151.7,37.9,2.3,42.0,18.0,0.0,3.7,54.3,14.8,0.3
62,Michigan State,2,4.5,4.5,100.0,0.0,0.0,,4.5,6.0,263.0,43.8,2.0,42.5,21.3,0.0,3.5,19.0,5.4,0.0
63,Middle Tennessee State,3,1.3,1.7,80.0,0.3,0.3,100.0,2.3,7.3,299.7,40.9,2.0,51.0,25.5,0.0,2.0,9.7,4.8,0.0
64,Minnesota,3,4.0,4.0,100.0,1.7,2.3,71.4,9.0,4.3,196.7,45.4,1.7,42.0,25.2,0.0,1.3,3.7,2.8,0.0
65,Mississippi State,3,5.3,6.0,88.9,1.7,2.3,71.4,10.3,3.7,162.0,44.2,2.0,39.7,19.8,0.0,3.0,30.3,10.1,0.0
66,Missouri,3,3.3,3.7,90.9,1.3,1.7,80.0,7.3,5.0,249.7,49.9,3.7,81.0,22.1,0.0,1.0,0.7,0.7,0.0
67,Navy,2,4.5,4.5,100.0,0.0,0.5,0.0,4.5,4.0,152.5,38.1,1.5,19.5,13.0,0.0,1.0,3.0,3.0,0.0
68,Nebraska,3,4.0,4.0,100.0,1.0,1.3,75.0,7.0,6.0,259.3,43.2,2.0,72.0,36.0,0.3,2.0,4.7,2.3,0.0
69,Nevada,3,2.3,2.3,100.0,1.0,1.0,100.0,5.3,4.3,149.3,34.5,4.0,96.3,24.1,0.0,1.3,9.3,7.0,0.0
70,New Mexico,3,2.3,2.3,100.0,1.0,1.3,75.0,5.3,5.0,229.3,45.9,2.0,41.7,20.8,0.0,1.3,2.7,2.0,0.0
71,New Mexico State,3,1.7,2.3,71.4,0.7,0.7,100.0,3.7,7.0,272.0,38.9,1.3,19.3,14.5,0.0,1.3,1.0,0.8,0.0
72,North Carolina,3,4.7,4.7,100.0,0.7,1.0,66.7,6.7,5.0,228.0,45.6,4.7,125.3,26.9,0.3,1.0,10.7,10.7,0.0
73,North Carolina State,3,5.0,5.3,93.8,0.3,1.0,33.3,6.0,3.7,159.3,43.5,3.0,74.7,24.9,0.0,1.0,13.3,13.3,0.0
74,North Texas,3,4.3,4.3,100.0,0.7,1.0,66.7,6.3,4.0,138.7,34.7,2.3,41.7,17.9,0.0,2.0,6.3,3.2,0.0
75,Northern Illinois,3,3.3,3.3,100.0,1.0,2.3,42.9,6.3,6.7,287.7,43.2,2.3,47.0,20.1,0.0,2.7,2.7,1.0,0.0
76,Northwestern,3,4.3,4.3,100.0,0.7,1.0,66.7,6.3,4.3,213.0,49.2,3.3,55.3,16.6,0.0,1.0,0.7,0.7,0.0
77,Notre Dame,3,5.0,5.0,100.0,1.3,2.0,66.7,9.0,6.0,283.7,47.3,2.0,44.0,22.0,0.0,2.7,0.7,0.3,0.0
78,Ohio,3,4.3,5.0,86.7,1.0,1.0,100.0,7.3,3.3,134.3,40.3,2.7,33.0,12.4,0.0,2.3,21.0,9.0,0.0
79,Ohio State,3,3.7,3.7,100.0,2.0,2.0,100.0,9.7,4.0,176.7,44.2,1.3,48.7,36.5,0.0,1.3,3.0,2.3,0.0
80,Oklahoma,3,6.3,6.3,100.0,0.3,0.7,50.0,7.3,1.3,50.0,37.5,2.0,40.0,20.0,0.0,1.3,8.7,6.5,0.0
81,Oklahoma State,3,7.0,7.0,100.0,1.7,2.3,71.4,12.0,1.7,66.3,39.8,2.0,42.0,21.0,0.0,1.3,5.3,4.0,0.0
82,Old Dominion,3,2.7,2.7,100.0,1.0,1.3,75.0,5.7,6.7,290.0,43.5,3.3,90.3,27.1,0.3,4.0,39.0,9.8,0.0
83,Ole Miss,3,3.7,4.3,84.6,1.3,2.0,66.7,7.7,2.7,121.3,45.5,3.3,112.7,33.8,0.3,1.3,2.7,2.0,0.0
84,Oregon,3,8.0,8.0,100.0,0.0,0.3,0.0,8.0,3.7,133.3,36.4,2.0,61.7,30.8,0.3,2.3,8.3,3.6,0.0
85,Oregon State,4,3.3,3.3,100.0,0.5,1.0,50.0,4.8,5.3,199.0,37.9,5.5,113.0,20.5,0.0,0.3,0.0,0.0,0.0
86,Penn State,3,6.3,6.3,100.0,0.7,1.3,50.0,8.3,4.0,180.0,45.0,1.3,35.7,26.8,0.0,4.0,71.7,17.9,0.3
87,Pitt,3,2.3,2.3,100.0,0.7,1.3,50.0,4.3,4.3,198.3,45.8,3.3,63.0,18.9,0.0,1.3,22.0,16.5,0.0
88,Purdue,3,4.7,4.7,100.0,1.0,2.0,50.0,7.7,4.0,195.3,48.8,2.7,36.0,13.5,0.0,1.7,4.3,2.6,0.0
89,Rice,3,1.7,1.7,100.0,0.7,1.0,66.7,3.7,6.0,274.3,45.7,3.3,55.7,16.7,0.0,1.0,12.7,12.7,0.0
90,Rutgers,3,3.7,3.7,100.0,1.0,1.3,75.0,6.7,5.3,223.7,41.9,2.3,40.0,17.1,0.0,3.0,32.3,10.8,0.0
91,San Diego State,3,3.3,3.3,100.0,2.0,2.3,85.7,9.3,4.0,152.0,38.0,1.0,43.7,43.7,0.3,1.7,14.3,8.6,0.0
92,San Jose State,4,1.5,2.3,66.7,1.0,1.0,100.0,4.5,7.8,346.3,44.7,2.8,53.0,19.3,0.0,1.5,11.5,7.7,0.0
93,SMU,3,5.7,6.3,89.5,1.7,2.0,83.3,10.7,4.3,178.7,41.2,2.7,54.7,20.5,0.0,1.3,5.0,3.8,0.0
94,South Alabama,3,3.3,3.3,100.0,1.0,1.3,75.0,6.3,5.0,233.3,46.7,2.3,48.3,20.7,0.0,1.0,4.3,4.3,0.0
95,South Carolina,3,3.3,3.7,90.9,0.3,1.7,20.0,4.3,4.7,204.7,43.9,4.0,104.7,26.2,0.7,1.7,13.3,8.0,0.0
96,South Florida,3,5.0,5.3,93.8,1.0,1.3,75.0,8.0,7.0,284.7,40.7,2.3,29.7,12.7,0.0,2.0,31.0,15.5,0.0
97,Southern Mississippi,3,4.0,4.0,100.0,0.7,1.0,66.7,6.0,6.0,233.3,38.9,2.3,46.3,19.9,0.0,2.0,15.3,7.7,0.0
98,Stanford,3,4.3,4.3,100.0,1.3,1.3,100.0,8.3,3.7,165.3,45.1,2.7,64.0,24.0,0.0,2.3,22.0,9.4,0.0
99,Syracuse,3,4.0,4.3,92.3,2.7,3.3,80.0,12.0,4.7,215.0,46.1,3.0,97.3,32.4,0.0,3.3,10.0,3.0,0.0
100,Temple,3,1.3,1.7,80.0,2.3,3.3,70.0,8.3,5.3,225.3,42.3,4.3,91.7,21.2,0.0,1.7,8.0,4.8,0.0
101,Tennessee,3,4.7,4.7,100.0,0.7,1.7,40.0,6.7,4.3,202.7,46.8,2.0,71.0,35.5,0.3,1.7,27.3,16.4,0.0
102,Texas,3,5.3,5.3,100.0,0.3,1.3,25.0,6.3,4.0,180.0,45.0,3.0,58.7,19.6,0.0,2.0,39.7,19.8,0.3
103,Texas A&M,3,4.7,4.7,100.0,1.7,2.7,62.5,9.7,5.3,257.3,48.3,3.3,84.7,25.4,0.0,0.7,8.0,12.0,0.0
104,Texas Christian,3,7.0,7.0,100.0,0.0,0.0,,7.0,2.7,86.3,32.4,3.0,57.3,19.1,0.0,1.0,10.3,10.3,0.0
105,Texas State,3,1.0,1.0,100.0,1.7,2.3,71.4,6.0,6.7,286.3,43.0,1.3,23.7,17.8,0.0,1.7,9.3,5.6,0.0
106,Texas Tech,2,7.5,7.5,100.0,0.5,0.5,100.0,9.0,3.0,114.0,38.0,0.0,0.0,,0.0,2.0,11.5,5.8,0.0
107,Toledo,3,4.7,5.0,93.3,2.7,3.0,88.9,12.7,2.3,86.7,37.1,2.7,76.7,28.8,0.3,2.0,15.7,7.8,0.0
108,Troy,3,2.7,3.0,88.9,0.7,1.3,50.0,4.7,4.0,179.3,44.8,1.7,39.7,23.8,0.0,1.7,23.3,14.0,0.0
109,Tulane,3,2.3,3.3,70.0,0.3,0.3,100.0,3.3,6.0,231.3,38.6,2.3,60.0,25.7,0.0,1.0,2.7,2.7,0.0
110,Tulsa,3,6.0,6.3,94.7,1.0,1.0,100.0,9.0,4.0,170.7,42.7,5.0,84.3,16.9,0.0,0.0,0.0,,0.0
111,UAB,3,4.0,4.3,92.3,1.0,1.0,100.0,7.0,4.7,197.7,42.4,5.0,90.3,18.1,0.0,2.7,5.7,2.1,0.0
112,UCF,1,6.0,7.0,85.7,1.0,2.0,50.0,9.0,3.0,120.0,40.0,4.0,71.0,17.8,0.0,3.0,50.0,16.7,0.0
113,UCLA,3,6.7,6.7,100.0,0.7,0.7,100.0,8.7,3.7,158.3,43.2,6.0,118.0,19.7,0.0,0.7,-0.3,-0.5,0.0
114,UNLV,2,4.5,4.5,100.0,3.5,5.0,70.0,15.0,1.5,62.5,41.7,3.5,50.5,14.4,0.0,2.0,18.5,9.3,0.0
115,USC,3,5.3,5.3,100.0,0.7,1.0,66.7,7.3,3.7,175.3,47.8,2.3,54.3,23.3,0.0,1.0,5.0,5.0,0.0
116,Utah,3,3.7,3.7,100.0,3.7,4.0,91.7,14.7,3.0,142.7,47.6,1.0,13.7,13.7,0.0,2.7,42.3,15.9,0.0
117,Utah State,3,2.7,2.7,100.0,1.7,1.7,100.0,7.7,6.3,257.3,40.6,4.0,73.3,18.3,0.0,2.3,26.7,11.4,0.0
118,UTEP,3,1.3,1.7,80.0,0.3,0.3,100.0,2.3,7.3,323.0,44.0,2.7,53.3,20.0,0.0,0.7,2.3,3.5,0.0
119,UTSA,2,4.0,4.5,88.9,1.0,1.5,66.7,7.0,4.0,158.5,39.6,2.5,39.0,15.6,0.0,2.5,3.0,1.2,0.0
120,Vanderbilt,3,4.0,4.0,100.0,0.0,0.7,0.0,4.0,6.7,242.3,36.4,0.3,7.3,22.0,0.0,1.7,18.3,11.0,0.0
121,Virginia,3,3.7,3.7,100.0,0.7,1.0,66.7,5.7,4.7,191.0,40.9,2.7,61.3,23.0,0.0,1.3,9.0,6.8,0.0
122,Virginia Tech,3,4.7,4.7,100.0,2.0,3.3,60.0,10.7,5.0,230.7,46.1,1.7,43.3,26.0,0.0,2.3,24.7,10.6,0.3
123,Wake Forest,3,5.0,5.3,93.8,2.0,2.0,100.0,11.0,5.0,216.7,43.3,2.0,40.0,20.0,0.0,3.0,48.7,16.2,0.0
124,Washington,3,6.0,6.3,94.7,1.0,1.3,75.0,9.0,3.3,127.3,38.2,1.7,38.0,22.8,0.0,2.0,77.7,38.8,1.0
125,Washington State,3,5.3,5.3,100.0,1.3,1.7,80.0,9.3,4.0,177.0,44.3,1.7,33.7,20.2,0.0,2.0,9.3,4.7,0.0
126,West Virginia,3,6.3,6.3,100.0,0.7,1.3,50.0,8.3,5.3,210.7,39.5,2.3,73.3,31.4,0.0,2.0,8.0,4.0,0.0
127,Western Kentucky,3,2.3,2.3,100.0,0.3,0.7,50.0,3.3,5.0,179.3,35.9,2.7,46.3,17.4,0.0,1.7,2.3,1.4,0.0
128,Western Michigan,3,2.7,3.0,88.9,1.3,1.7,80.0,6.7,6.0,278.7,46.4,4.0,132.7,33.2,0.7,1.3,32.7,24.5,0.0
129,Wisconsin,3,5.7,5.7,100.0,1.0,1.3,75.0,8.7,3.3,137.7,41.3,1.7,44.0,26.4,0.0,2.3,9.3,4.0,0.0
130,Wyoming,3,1.3,1.3,100.0,1.7,2.0,83.3,6.3,7.0,241.7,34.5,1.3,20.0,15.0,0.0,1.7,23.0,13.8,0.0
